gene_symbol,study_id,assay_id,log2fc,adj_pvalue,test_group,ref_group,go_terms
SELL,E-GEOD-32407,'injection of interferon gamma' vs 'none' in 'normal',3.700,5.10e-08,normal; injection of interferon gamma,normal; none,GO:0009615
LAMP3,E-GEOD-32407,'injection of interferon gamma' vs 'none' in 'psoriasis',3.700,7.08e-11,psoriasis; injection of interferon gamma,psoriasis; none,GO:0070268; GO:0031424; GO:0009615
RTP4,E-GEOD-32407,'injection of interferon gamma' vs 'none' in 'psoriasis',3.700,2.24e-13,psoriasis; injection of interferon gamma,psoriasis; none,GO:0009615
GJB2,E-GEOD-41745,'lesional' vs 'non-lesional',3.700,0.00e+00,lesional,non-lesional,GO:0070268; GO:0031424; GO:0009615
HPSE,E-GEOD-30999,'lesional' vs 'non-lesional',3.700,0.00e+00,lesional,non-lesional,GO:0070268; GO:0031424; GO:0009615
S100A9,E-GEOD-30999,'lesional' vs 'non-lesional',3.700,0.00e+00,lesional,non-lesional,GO:0070268; GO:0031424; GO:0009615
TNIP3,E-GEOD-30999,'lesional' vs 'non-lesional',3.700,0.00e+00,lesional,non-lesional,GO:0070268; GO:0031424; GO:0009615
KYNU,E-GEOD-53552,'lesional' vs 'non-lesional' in 'none' at '0 day',3.700,9.97e-25,0 day; lesional; none,0 day; non-lesional; none,GO:0070268; GO:0031424; GO:0009615
DSC2,E-GEOD-26866,'lesional' vs 'non-lesional' in 'two-cycle cDNA synthesis from bulk tissue',3.700,6.74e-03,lesional; two-cycle cDNA synthesis from bulk tissue,non-lesional; two-cycle cDNA synthesis from bulk tissue,GO:0070268; GO:0031424; GO:0009615
CXCL13,E-GEOD-34248,'psoriasis lesional skin' vs 'psoriasis non-lesional skin',3.700,2.20e-06,lesional,non-lesional,GO:0009615
KYNU,E-GEOD-41662,'psoriasis lesional skin' vs 'psoriasis non-lesional skin',3.700,5.66e-24,lesional,non-lesional,GO:0070268; GO:0031424; GO:0009615
HPSE,E-GEOD-52471,'psoriasis' vs 'normal' in 'Ovation RNA Amplification V2 kit',3.700,1.12e-05,Ovation RNA Amplification V2 kit; psoriasis,Ovation RNA Amplification V2 kit; normal,GO:0070268; GO:0031424; GO:0009615
ACP7,E-GEOD-54456,'psoriasis; lesional skin' vs 'normal; normal',3.700,0.00e+00,lesional skin; psoriasis,normal; normal,GO:0070268; GO:0031424; GO:0009615
AL078590.2,E-GEOD-54456,'psoriasis; lesional skin' vs 'normal; normal',3.700,0.00e+00,lesional skin; psoriasis,normal; normal,
CT69,E-GEOD-54456,'psoriasis; lesional skin' vs 'normal; normal',3.700,0.00e+00,lesional skin; psoriasis,normal; normal,
IFI27,E-GEOD-54456,'psoriasis; lesional skin' vs 'normal; normal',3.700,0.00e+00,lesional skin; psoriasis,normal; normal,GO:0009615
RP11-557H15.3,E-GEOD-54456,'psoriasis; lesional skin' vs 'normal; normal',3.700,0.00e+00,lesional skin; psoriasis,normal; normal,
ZC3H12A,E-GEOD-54456,'psoriasis; lesional skin' vs 'normal; normal',3.700,0.00e+00,lesional skin; psoriasis,normal; normal,GO:0070268; GO:0031424; GO:0009615
LCN2,E-GEOD-41663,'skin lesion' vs 'normal skin' in 'none' at '0 weeks',3.700,2.16e-08,none; skin lesion; 0 week,none; normal; 0 week,
APOL6,E-GEOD-52471,'cutaneous lupus erythematosus' vs 'normal' in 'Ovation RNA Amplification V2 kit',3.600,8.16e-06,Ovation RNA Amplification V2 kit; cutaneous lupus erythematosus,Ovation RNA Amplification V2 kit; normal,GO:0009615
CD8A,E-GEOD-52471,'cutaneous lupus erythematosus' vs 'normal' in 'Ovation RNA Amplification V2 kit',3.600,1.03e-04,Ovation RNA Amplification V2 kit; cutaneous lupus erythematosus,Ovation RNA Amplification V2 kit; normal,GO:0009615
GNLY,E-GEOD-52471,'cutaneous lupus erythematosus' vs 'normal' in 'Ovation RNA Amplification V2 kit',3.600,1.37e-04,Ovation RNA Amplification V2 kit; cutaneous lupus erythematosus,Ovation RNA Amplification V2 kit; normal,GO:0009615
KMO,E-GEOD-52471,'cutaneous lupus erythematosus' vs 'normal' in 'Ovation RNA Amplification V2 kit',3.600,9.66e-05,Ovation RNA Amplification V2 kit; cutaneous lupus erythematosus,Ovation RNA Amplification V2 kit; normal,GO:0009615
MX2,E-GEOD-52471,'cutaneous lupus erythematosus' vs 'normal' in 'Ovation RNA Amplification V2 kit',3.600,1.68e-06,Ovation RNA Amplification V2 kit; cutaneous lupus erythematosus,Ovation RNA Amplification V2 kit; normal,GO:0009615
TFEC,E-GEOD-52471,'cutaneous lupus erythematosus' vs 'normal' in 'Ovation RNA Amplification V2 kit',3.600,2.51e-04,Ovation RNA Amplification V2 kit; cutaneous lupus erythematosus,Ovation RNA Amplification V2 kit; normal,GO:0009615
IFI27,E-GEOD-32407,'injection of interferon gamma' vs 'none' in 'normal',3.600,1.04e-10,normal; injection of interferon gamma,normal; none,GO:0009615
TAP2,E-GEOD-32407,'injection of interferon gamma' vs 'none' in 'normal',3.600,4.82e-09,normal; injection of interferon gamma,normal; none,
IFI44,E-GEOD-32407,'injection of interferon gamma' vs 'none' in 'psoriasis',3.600,4.27e-12,psoriasis; injection of interferon gamma,psoriasis; none,GO:0009615
SECTM1,E-GEOD-32407,'injection of interferon gamma' vs 'none' in 'psoriasis',3.600,3.01e-11,psoriasis; injection of interferon gamma,psoriasis; none,
CXCL1,E-GEOD-30999,'lesional' vs 'non-lesional',3.600,4.55e-43,lesional,non-lesional,
CXCL13,E-GEOD-30999,'lesional' vs 'non-lesional',3.600,0.00e+00,lesional,non-lesional,GO:0009615
IL36G,E-GEOD-30999,'lesional' vs 'non-lesional',3.600,0.00e+00,lesional,non-lesional,
LCN2,E-GEOD-30999,'lesional' vs 'non-lesional',3.600,0.00e+00,lesional,non-lesional,
PLA2G4D,E-GEOD-41745,'lesional' vs 'non-lesional',3.600,1.67e-34,lesional,non-lesional,GO:0070268; GO:0031424; GO:0009615
TNIP3,E-GEOD-41745,'lesional' vs 'non-lesional',3.600,2.40e-14,lesional,non-lesional,GO:0070268; GO:0031424; GO:0009615
CXCL1,E-GEOD-41662,'psoriasis lesional skin' vs 'psoriasis non-lesional skin',3.600,6.28e-14,lesional,non-lesional,
IGFL1,E-GEOD-34248,'psoriasis lesional skin' vs 'psoriasis non-lesional skin',3.600,2.98e-06,lesional,non-lesional,
KLK13,E-GEOD-41662,'psoriasis lesional skin' vs 'psoriasis non-lesional skin',3.600,1.53e-15,lesional,non-lesional,GO:0070268; GO:0031424; GO:0009615
PRPF19,E-GEOD-52471,'psoriasis' vs 'normal' in 'Ovation RNA Amplification V2 kit',3.600,6.33e-06,Ovation RNA Amplification V2 kit; psoriasis,Ovation RNA Amplification V2 kit; normal,
TYMP,E-GEOD-52471,'psoriasis' vs 'normal' in 'Ovation RNA Amplification V2 kit',3.600,1.07e-05,Ovation RNA Amplification V2 kit; psoriasis,Ovation RNA Amplification V2 kit; normal,GO:0070268; GO:0031424; GO:0009615
ARSF,E-GEOD-54456,'psoriasis; lesional skin' vs 'normal; normal',3.600,0.00e+00,lesional skin; psoriasis,normal; normal,GO:0070268; GO:0031424; GO:0009615
LINC01215,E-GEOD-54456,'psoriasis; lesional skin' vs 'normal; normal',3.600,0.00e+00,lesional skin; psoriasis,normal; normal,
LRRC55,E-GEOD-54456,'psoriasis; lesional skin' vs 'normal; normal',3.600,0.00e+00,lesional skin; psoriasis,normal; normal,
OAS2,E-GEOD-54456,'psoriasis; lesional skin' vs 'normal; normal',3.600,0.00e+00,lesional skin; psoriasis,normal; normal,GO:0009615
SPRR1B,E-GEOD-54456,'psoriasis; lesional skin' vs 'normal; normal',3.600,0.00e+00,lesional skin; psoriasis,normal; normal,GO:0070268; GO:0031424; GO:0009615
SPRR2E,E-GEOD-54456,'psoriasis; lesional skin' vs 'normal; normal',3.600,0.00e+00,lesional skin; psoriasis,normal; normal,
TNIP3,E-GEOD-41663,'skin lesion' vs 'normal skin' in 'none' at '0 weeks',3.600,6.30e-08,none; skin lesion; 0 week,none; normal; 0 week,GO:0070268; GO:0031424; GO:0009615
AL139020.1,E-GEOD-52471,'cutaneous lupus erythematosus' vs 'normal' in 'Ovation RNA Amplification V2 kit',3.500,5.85e-04,Ovation RNA Amplification V2 kit; cutaneous lupus erythematosus,Ovation RNA Amplification V2 kit; normal,GO:0009615
GZMK,E-GEOD-52471,'cutaneous lupus erythematosus' vs 'normal' in 'Ovation RNA Amplification V2 kit',3.500,9.67e-05,Ovation RNA Amplification V2 kit; cutaneous lupus erythematosus,Ovation RNA Amplification V2 kit; normal,GO:0009615
IFIT3,E-GEOD-52471,'cutaneous lupus erythematosus' vs 'normal' in 'Ovation RNA Amplification V2 kit',3.500,1.09e-05,Ovation RNA Amplification V2 kit; cutaneous lupus erythematosus,Ovation RNA Amplification V2 kit; normal,GO:0070268; GO:0031424; GO:0009615
STAP1,E-GEOD-52471,'cutaneous lupus erythematosus' vs 'normal' in 'Ovation RNA Amplification V2 kit',3.500,1.17e-04,Ovation RNA Amplification V2 kit; cutaneous lupus erythematosus,Ovation RNA Amplification V2 kit; normal,GO:0009615
TCL1A,E-GEOD-52471,'cutaneous lupus erythematosus' vs 'normal' in 'Ovation RNA Amplification V2 kit',3.500,5.85e-04,Ovation RNA Amplification V2 kit; cutaneous lupus erythematosus,Ovation RNA Amplification V2 kit; normal,GO:0009615
OAS1,E-GEOD-32407,'injection of interferon gamma' vs 'none' in 'normal',3.500,1.53e-09,normal; injection of interferon gamma,normal; none,GO:0070268; GO:0031424; GO:0009615
PLSCR1,E-GEOD-32407,'injection of interferon gamma' vs 'none' in 'normal',3.500,6.56e-11,normal; injection of interferon gamma,normal; none,GO:0009615
SAMD9,E-GEOD-32407,'injection of interferon gamma' vs 'none' in 'normal',3.500,6.34e-11,normal; injection of interferon gamma,normal; none,GO:0070268; GO:0031424; GO:0009615
SECTM1,E-GEOD-32407,'injection of interferon gamma' vs 'none' in 'normal',3.500,1.66e-09,normal; injection of interferon gamma,normal; none,
SLAMF8,E-GEOD-32407,'injection of interferon gamma' vs 'none' in 'psoriasis',3.500,1.86e-12,psoriasis; injection of interferon gamma,psoriasis; none,
S100A8,E-GEOD-41745,'lesional' vs 'non-lesional',3.500,2.83e-13,lesional,non-lesional,GO:0070268; GO:0031424; GO:0009615
CXCL1,E-GEOD-53552,'lesional' vs 'non-lesional' in 'none' at '0 day',3.500,1.47e-13,0 day; lesional; none,0 day; non-lesional; none,
KLK13,E-GEOD-53552,'lesional' vs 'non-lesional' in 'none' at '0 day',3.500,1.87e-15,0 day; lesional; none,0 day; non-lesional; none,GO:0070268; GO:0031424; GO:0009615
TNIP3,E-GEOD-53552,'lesional' vs 'non-lesional' in 'none' at '0 day',3.500,1.50e-13,0 day; lesional; none,0 day; non-lesional; none,GO:0070268; GO:0031424; GO:0009615
AKR1B10,E-GEOD-26866,'lesional' vs 'non-lesional' in 'two-cycle cDNA synthesis from bulk tissue',3.500,5.57e-03,lesional; two-cycle cDNA synthesis from bulk tissue,non-lesional; two-cycle cDNA synthesis from bulk tissue,GO:0070268; GO:0031424; GO:0009615
IL36G,E-GEOD-34248,'psoriasis lesional skin' vs 'psoriasis non-lesional skin',3.500,1.44e-08,lesional,non-lesional,
SERPINB3,E-GEOD-50790,'psoriasis lesional skin' vs 'psoriasis non-lesional skin',3.500,6.13e-05,lesional,non-lesional,GO:0070268; GO:0031424; GO:0009615
SPRR2A,E-GEOD-41662,'psoriasis lesional skin' vs 'psoriasis non-lesional skin',3.500,3.14e-13,lesional,non-lesional,GO:0070268; GO:0031424; GO:0009615
TEX101,E-GEOD-50790,'psoriasis lesional skin' vs 'psoriasis non-lesional skin',3.500,6.13e-05,lesional,non-lesional,
TNIP3,E-GEOD-41662,'psoriasis lesional skin' vs 'psoriasis non-lesional skin',3.500,3.18e-13,lesional,non-lesional,GO:0070268; GO:0031424; GO:0009615
ATP12A,E-GEOD-52471,'psoriasis' vs 'normal' in 'Affy RNA amplification kit',3.500,9.09e-10,Affy RNA amplification kit; psoriasis,Affy RNA amplification kit; normal,
IFI27,E-GEOD-52471,'psoriasis' vs 'normal' in 'Affy RNA amplification kit',3.500,7.66e-15,Affy RNA amplification kit; psoriasis,Affy RNA amplification kit; normal,GO:0009615
RHCG,E-GEOD-52471,'psoriasis' vs 'normal' in 'Affy RNA amplification kit',3.500,1.92e-10,Affy RNA amplification kit; psoriasis,Affy RNA amplification kit; normal,GO:0070268; GO:0031424; GO:0009615
SLC6A14,E-GEOD-52471,'psoriasis' vs 'normal' in 'Affy RNA amplification kit',3.500,2.77e-10,Affy RNA amplification kit; psoriasis,Affy RNA amplification kit; normal,GO:0070268; GO:0031424; GO:0009615
TREX2,E-GEOD-52471,'psoriasis' vs 'normal' in 'Affy RNA amplification kit',3.500,9.44e-13,Affy RNA amplification kit; psoriasis,Affy RNA amplification kit; normal,
EHBP1L1,E-GEOD-52471,'psoriasis' vs 'normal' in 'Ovation RNA Amplification V2 kit',3.500,8.86e-06,Ovation RNA Amplification V2 kit; psoriasis,Ovation RNA Amplification V2 kit; normal,
CYP24A1,E-GEOD-54456,'psoriasis; lesional skin' vs 'normal; normal',3.500,0.00e+00,lesional skin; psoriasis,normal; normal,
FABP5,E-GEOD-54456,'psoriasis; lesional skin' vs 'normal; normal',3.500,0.00e+00,lesional skin; psoriasis,normal; normal,GO:0070268; GO:0031424; GO:0009615
HYAL4,E-GEOD-54456,'psoriasis; lesional skin' vs 'normal; normal',3.500,0.00e+00,lesional skin; psoriasis,normal; normal,
HYAL4,E-GEOD-41663,'skin lesion' vs 'normal skin' in 'none' at '0 weeks',3.500,2.19e-08,none; skin lesion; 0 week,none; normal; 0 week,
IL36A,E-GEOD-41663,'skin lesion' vs 'normal skin' in 'none' at '0 weeks',3.500,1.54e-08,none; skin lesion; 0 week,none; normal; 0 week,GO:0070268; GO:0031424; GO:0009615
BST2,E-GEOD-52471,'cutaneous lupus erythematosus' vs 'normal' in 'Ovation RNA Amplification V2 kit',3.400,1.08e-05,Ovation RNA Amplification V2 kit; cutaneous lupus erythematosus,Ovation RNA Amplification V2 kit; normal,GO:0009615
CD48,E-GEOD-52471,'cutaneous lupus erythematosus' vs 'normal' in 'Ovation RNA Amplification V2 kit',3.400,1.12e-04,Ovation RNA Amplification V2 kit; cutaneous lupus erythematosus,Ovation RNA Amplification V2 kit; normal,GO:0009615
CCL2,E-GEOD-32407,'injection of interferon gamma' vs 'none' in 'normal',3.400,5.60e-09,normal; injection of interferon gamma,normal; none,
CTSS,E-GEOD-32407,'injection of interferon gamma' vs 'none' in 'normal',3.400,1.04e-08,normal; injection of interferon gamma,normal; none,
DDX60,E-GEOD-32407,'injection of interferon gamma' vs 'none' in 'normal',3.400,1.20e-09,normal; injection of interferon gamma,normal; none,GO:0009615
RGS1,E-GEOD-32407,'injection of interferon gamma' vs 'none' in 'normal',3.400,1.65e-09,normal; injection of interferon gamma,normal; none,
UBE2L6,E-GEOD-32407,'injection of interferon gamma' vs 'none' in 'normal',3.400,4.89e-12,normal; injection of interferon gamma,normal; none,GO:0009615
CCL2,E-GEOD-32407,'injection of interferon gamma' vs 'none' in 'psoriasis',3.400,6.13e-11,psoriasis; injection of interferon gamma,psoriasis; none,
CX3CL1,E-GEOD-32407,'injection of interferon gamma' vs 'none' in 'psoriasis',3.400,1.87e-14,psoriasis; injection of interferon gamma,psoriasis; none,
OAS1,E-GEOD-32407,'injection of interferon gamma' vs 'none' in 'psoriasis',3.400,1.17e-10,psoriasis; injection of interferon gamma,psoriasis; none,GO:0070268; GO:0031424; GO:0009615
SAMD9,E-GEOD-32407,'injection of interferon gamma' vs 'none' in 'psoriasis',3.400,1.33e-12,psoriasis; injection of interferon gamma,psoriasis; none,GO:0070268; GO:0031424; GO:0009615
CCL20,E-GEOD-30999,'lesional' vs 'non-lesional',3.400,1.75e-43,lesional,non-lesional,
CTA-384D8.35,E-GEOD-30999,'lesional' vs 'non-lesional',3.400,0.00e+00,lesional,non-lesional,
HEPHL1,E-GEOD-41745,'lesional' vs 'non-lesional',3.400,8.50e-14,lesional,non-lesional,GO:0070268; GO:0031424
IGFL1,E-GEOD-30999,'lesional' vs 'non-lesional',3.400,0.00e+00,lesional,non-lesional,
KLHDC7B-DT,E-GEOD-30999,'lesional' vs 'non-lesional',3.400,0.00e+00,lesional,non-lesional,
U62317.1,E-GEOD-30999,'lesional' vs 'non-lesional',3.400,0.00e+00,lesional,non-lesional,
U62317.2,E-GEOD-30999,'lesional' vs 'non-lesional',3.400,0.00e+00,lesional,non-lesional,
RHCG,E-GEOD-53552,'lesional' vs 'non-lesional' in 'none' at '0 day',3.400,4.36e-16,0 day; lesional; none,0 day; non-lesional; none,GO:0070268; GO:0031424; GO:0009615
SERPINB13,E-GEOD-26866,'lesional' vs 'non-lesional' in 'two-cycle cDNA synthesis from bulk tissue',3.400,7.15e-03,lesional; two-cycle cDNA synthesis from bulk tissue,non-lesional; two-cycle cDNA synthesis from bulk tissue,GO:0070268; GO:0031424; GO:0009615
ADAMDEC1,E-GEOD-34248,'psoriasis lesional skin' vs 'psoriasis non-lesional skin',3.400,8.82e-06,lesional,non-lesional,GO:0070268; GO:0031424; GO:0009615
CCL20,E-GEOD-34248,'psoriasis lesional skin' vs 'psoriasis non-lesional skin',3.400,1.91e-06,lesional,non-lesional,
CCL20,E-GEOD-41662,'psoriasis lesional skin' vs 'psoriasis non-lesional skin',3.400,8.97e-13,lesional,non-lesional,
RHCG,E-GEOD-41662,'psoriasis lesional skin' vs 'psoriasis non-lesional skin',3.400,5.21e-15,lesional,non-lesional,GO:0070268; GO:0031424; GO:0009615
TMPRSS11D,E-GEOD-34248,'psoriasis lesional skin' vs 'psoriasis non-lesional skin',3.400,5.47e-07,lesional,non-lesional,GO:0070268; GO:0031424; GO:0009615
KLK13,E-GEOD-52471,'psoriasis' vs 'normal' in 'Affy RNA amplification kit',3.400,7.60e-11,Affy RNA amplification kit; psoriasis,Affy RNA amplification kit; normal,GO:0070268; GO:0031424; GO:0009615
CTSC,E-GEOD-52471,'psoriasis' vs 'normal' in 'Ovation RNA Amplification V2 kit',3.400,6.67e-06,Ovation RNA Amplification V2 kit; psoriasis,Ovation RNA Amplification V2 kit; normal,
IFI27,E-GEOD-52471,'psoriasis' vs 'normal' in 'Ovation RNA Amplification V2 kit',3.400,2.35e-05,Ovation RNA Amplification V2 kit; psoriasis,Ovation RNA Amplification V2 kit; normal,GO:0009615
KRT6A,E-GEOD-52471,'psoriasis' vs 'normal' in 'Ovation RNA Amplification V2 kit',3.400,2.43e-05,Ovation RNA Amplification V2 kit; psoriasis,Ovation RNA Amplification V2 kit; normal,GO:0070268; GO:0031424; GO:0009615
TGM1,E-GEOD-52471,'psoriasis' vs 'normal' in 'Ovation RNA Amplification V2 kit',3.400,9.12e-06,Ovation RNA Amplification V2 kit; psoriasis,Ovation RNA Amplification V2 kit; normal,GO:0070268; GO:0031424; GO:0009615
VNN3,E-GEOD-52471,'psoriasis' vs 'normal' in 'Ovation RNA Amplification V2 kit',3.400,1.03e-05,Ovation RNA Amplification V2 kit; psoriasis,Ovation RNA Amplification V2 kit; normal,GO:0070268; GO:0031424; GO:0009615
CD274,E-GEOD-54456,'psoriasis; lesional skin' vs 'normal; normal',3.400,0.00e+00,lesional skin; psoriasis,normal; normal,GO:0070268; GO:0031424; GO:0009615
HERC6,E-GEOD-54456,'psoriasis; lesional skin' vs 'normal; normal',3.400,0.00e+00,lesional skin; psoriasis,normal; normal,GO:0009615
RGS1,E-GEOD-54456,'psoriasis; lesional skin' vs 'normal; normal',3.400,0.00e+00,lesional skin; psoriasis,normal; normal,
RHCG,E-GEOD-41663,'skin lesion' vs 'normal skin' in 'none' at '0 weeks',3.400,1.65e-08,none; skin lesion; 0 week,none; normal; 0 week,GO:0070268; GO:0031424; GO:0009615
S100A8,E-GEOD-16161,'atopic dermatitis' vs 'normal',3.300,1.21e-05,atopic dermatitis,normal,GO:0070268; GO:0031424; GO:0009615
IFI27,E-GEOD-52471,'cutaneous lupus erythematosus' vs 'normal' in 'Ovation RNA Amplification V2 kit',3.300,1.68e-06,Ovation RNA Amplification V2 kit; cutaneous lupus erythematosus,Ovation RNA Amplification V2 kit; normal,GO:0009615
KRT16,E-GEOD-52471,'cutaneous lupus erythematosus' vs 'normal' in 'Ovation RNA Amplification V2 kit',3.300,1.80e-04,Ovation RNA Amplification V2 kit; cutaneous lupus erythematosus,Ovation RNA Amplification V2 kit; normal,GO:0070268; GO:0031424; GO:0009615
OAS3,E-GEOD-52471,'cutaneous lupus erythematosus' vs 'normal' in 'Ovation RNA Amplification V2 kit',3.300,5.39e-06,Ovation RNA Amplification V2 kit; cutaneous lupus erythematosus,Ovation RNA Amplification V2 kit; normal,GO:0009615
PI3,E-GEOD-52471,'cutaneous lupus erythematosus' vs 'normal' in 'Ovation RNA Amplification V2 kit',3.300,1.69e-04,Ovation RNA Amplification V2 kit; cutaneous lupus erythematosus,Ovation RNA Amplification V2 kit; normal,GO:0070268; GO:0031424; GO:0009615
SLAMF7,E-GEOD-52471,'cutaneous lupus erythematosus' vs 'normal' in 'Ovation RNA Amplification V2 kit',3.300,4.57e-04,Ovation RNA Amplification V2 kit; cutaneous lupus erythematosus,Ovation RNA Amplification V2 kit; normal,GO:0009615
APOL6,E-GEOD-32407,'injection of interferon gamma' vs 'none' in 'normal',3.300,9.12e-12,normal; injection of interferon gamma,normal; none,GO:0009615
CX3CL1,E-GEOD-32407,'injection of interferon gamma' vs 'none' in 'normal',3.300,9.55e-10,normal; injection of interferon gamma,normal; none,
FCN1,E-GEOD-32407,'injection of interferon gamma' vs 'none' in 'normal',3.300,3.28e-09,normal; injection of interferon gamma,normal; none,
IFIT2,E-GEOD-32407,'injection of interferon gamma' vs 'none' in 'normal',3.300,2.80e-09,normal; injection of interferon gamma,normal; none,GO:0009615
IL12RB2,E-GEOD-32407,'injection of interferon gamma' vs 'none' in 'normal',3.300,8.01e-09,normal; injection of interferon gamma,normal; none,
IRF7,E-GEOD-32407,'injection of interferon gamma' vs 'none' in 'normal',3.300,1.18e-09,normal; injection of interferon gamma,normal; none,GO:0009615
TRIM22,E-GEOD-32407,'injection of interferon gamma' vs 'none' in 'normal',3.300,5.17e-10,normal; injection of interferon gamma,normal; none,GO:0009615
IFIT2,E-GEOD-32407,'injection of interferon gamma' vs 'none' in 'psoriasis',3.300,7.88e-13,psoriasis; injection of interferon gamma,psoriasis; none,GO:0009615
UBE2L6,E-GEOD-32407,'injection of interferon gamma' vs 'none' in 'psoriasis',3.300,7.19e-15,psoriasis; injection of interferon gamma,psoriasis; none,GO:0009615
ACP7,E-GEOD-41745,'lesional' vs 'non-lesional',3.300,2.95e-23,lesional,non-lesional,GO:0070268; GO:0031424; GO:0009615
VNN3,E-GEOD-41745,'lesional' vs 'non-lesional',3.300,1.42e-12,lesional,non-lesional,GO:0070268; GO:0031424; GO:0009615
CCL20,E-GEOD-53552,'lesional' vs 'non-lesional' in 'none' at '0 day',3.300,5.84e-13,0 day; lesional; none,0 day; non-lesional; none,
GZMB,E-GEOD-53552,'lesional' vs 'non-lesional' in 'none' at '0 day',3.300,2.78e-12,0 day; lesional; none,0 day; non-lesional; none,GO:0009615
IL19,E-GEOD-53552,'lesional' vs 'non-lesional' in 'none' at '0 day',3.300,2.42e-13,0 day; lesional; none,0 day; non-lesional; none,
OASL,E-GEOD-53552,'lesional' vs 'non-lesional' in 'none' at '0 day',3.300,2.42e-13,0 day; lesional; none,0 day; non-lesional; none,GO:0070268; GO:0031424; GO:0009615
GZMB,E-GEOD-41662,'psoriasis lesional skin' vs 'psoriasis non-lesional skin',3.300,3.10e-12,lesional,non-lesional,GO:0009615
IL19,E-GEOD-41662,'psoriasis lesional skin' vs 'psoriasis non-lesional skin',3.300,1.31e-13,lesional,non-lesional,
KYNU,E-GEOD-50790,'psoriasis lesional skin' vs 'psoriasis non-lesional skin',3.300,8.50e-04,lesional,non-lesional,GO:0070268; GO:0031424; GO:0009615
OASL,E-GEOD-41662,'psoriasis lesional skin' vs 'psoriasis non-lesional skin',3.300,8.64e-13,lesional,non-lesional,GO:0070268; GO:0031424; GO:0009615
OASL,E-GEOD-34248,'psoriasis lesional skin' vs 'psoriasis non-lesional skin',3.300,9.39e-07,lesional,non-lesional,GO:0070268; GO:0031424; GO:0009615
OASL,E-GEOD-52471,'psoriasis' vs 'normal' in 'Affy RNA amplification kit',3.300,1.41e-10,Affy RNA amplification kit; psoriasis,Affy RNA amplification kit; normal,GO:0070268; GO:0031424; GO:0009615
TYMP,E-GEOD-54456,'psoriasis; lesional skin' vs 'normal; normal',3.300,0.00e+00,lesional skin; psoriasis,normal; normal,GO:0070268; GO:0031424; GO:0009615
GZMA,E-GEOD-52471,'cutaneous lupus erythematosus' vs 'normal' in 'Ovation RNA Amplification V2 kit',3.200,6.33e-05,Ovation RNA Amplification V2 kit; cutaneous lupus erythematosus,Ovation RNA Amplification V2 kit; normal,GO:0009615
HERC6,E-GEOD-52471,'cutaneous lupus erythematosus' vs 'normal' in 'Ovation RNA Amplification V2 kit',3.200,1.88e-05,Ovation RNA Amplification V2 kit; cutaneous lupus erythematosus,Ovation RNA Amplification V2 kit; normal,GO:0009615
IFI44,E-GEOD-52471,'cutaneous lupus erythematosus' vs 'normal' in 'Ovation RNA Amplification V2 kit',3.200,1.68e-06,Ovation RNA Amplification V2 kit; cutaneous lupus erythematosus,Ovation RNA Amplification V2 kit; normal,GO:0009615
HERC5,E-GEOD-32407,'injection of interferon gamma' vs 'none' in 'normal',3.200,1.01e-09,normal; injection of interferon gamma,normal; none,GO:0009615
PSMB9,E-GEOD-32407,'injection of interferon gamma' vs 'none' in 'normal',3.200,4.80e-11,normal; injection of interferon gamma,normal; none,
SLAMF8,E-GEOD-32407,'injection of interferon gamma' vs 'none' in 'normal',3.200,3.86e-08,normal; injection of interferon gamma,normal; none,
STAT1,E-GEOD-32407,'injection of interferon gamma' vs 'none' in 'normal',3.200,4.89e-12,normal; injection of interferon gamma,normal; none,GO:0070268; GO:0031424; GO:0002376; GO:0009615
TAP1,E-GEOD-32407,'injection of interferon gamma' vs 'none' in 'normal',3.200,1.14e-11,normal; injection of interferon gamma,normal; none,
APOL3,E-GEOD-32407,'injection of interferon gamma' vs 'none' in 'psoriasis',3.200,1.50e-13,psoriasis; injection of interferon gamma,psoriasis; none,
APOL6,E-GEOD-32407,'injection of interferon gamma' vs 'none' in 'psoriasis',3.200,2.20e-14,psoriasis; injection of interferon gamma,psoriasis; none,GO:0009615
BCL2A1,E-GEOD-32407,'injection of interferon gamma' vs 'none' in 'psoriasis',3.200,4.35e-12,psoriasis; injection of interferon gamma,psoriasis; none,
DDX60,E-GEOD-32407,'injection of interferon gamma' vs 'none' in 'psoriasis',3.200,7.53e-13,psoriasis; injection of interferon gamma,psoriasis; none,GO:0009615
IL12RB2,E-GEOD-32407,'injection of interferon gamma' vs 'none' in 'psoriasis',3.200,2.68e-11,psoriasis; injection of interferon gamma,psoriasis; none,
IRF7,E-GEOD-32407,'injection of interferon gamma' vs 'none' in 'psoriasis',3.200,6.05e-14,psoriasis; injection of interferon gamma,psoriasis; none,GO:0009615
PLSCR1,E-GEOD-32407,'injection of interferon gamma' vs 'none' in 'psoriasis',3.200,7.36e-13,psoriasis; injection of interferon gamma,psoriasis; none,GO:0009615
TAP1,E-GEOD-32407,'injection of interferon gamma' vs 'none' in 'psoriasis',3.200,1.87e-14,psoriasis; injection of interferon gamma,psoriasis; none,
GZMB,E-GEOD-30999,'lesional' vs 'non-lesional',3.200,0.00e+00,lesional,non-lesional,GO:0009615
